URL,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_UPDATED_DATE,Type
M0_109,16,7,None,None,10-10-2015 18:21,None,1
B0_2314,16,6,None,None,None,None,0
B0_911,16,6,None,None,None,None,0
B0_113,17,6,US,AK,07-10-1997 04:00,12-09-2013 00:45,0
B0_403,17,6,US,TX,12-05-1996 00:00,11-04-2017 00:00,0
B0_2064,18,7,SC,Mahe,03-08-2016 14:30,03-10-2016 03:45,0
B0_462,18,6,US,CO,29-07-2002 00:00,01-07-2016 00:00,0
B0_1128,19,6,US,FL,18-03-1997 00:00,19-03-2017 00:00,0
M2_17,20,5,None,None,08-11-2014 07:41,None,1
M3_75,20,5,None,None,08-11-2014 07:41,None,1
B0_1013,20,6,US,Kansas,14-09-2007 00:00,09-09-2015 00:00,0
B0_1102,20,6,US,CO,22-11-2016 00:00,23-11-2016 00:00,0
B0_22,20,7,GB,None,11-10-2002 00:00,06-10-2016 00:00,0
B0_482,20,6,None,None,14-11-2002 00:00,19-04-2015 00:00,0
B0_869,20,7,None,None,None,None,0
M0_71,21,7,UK,None,16-07-2000 00:00,04-07-2015 00:00,1
M0_97,21,7,RU,Novosibirskaya obl.,25-05-2013 00:00,23-05-2016 00:00,1
B0_2303,21,6,None,None,09-08-1999 00:00,10-02-2015 00:00,0
B0_584,21,6,None,None,None,None,0
M0_69,22,7,US,CO,15-09-2013 00:00,25-02-2017 00:00,1
B0_161,22,6,US,CA,03-07-1999 00:00,07-08-2015 00:00,0
B0_2122,22,6,US,Tennessee,02-11-2003 00:00,29-06-2015 00:00,0
B0_2176,22,6,None,None,12-08-2008 22:10,13-07-2016 17:36,0
B0_569,22,7,AU,Vi,21-05-2009 00:00,15-05-2016 00:00,0
B0_601,22,6,US,FL,01-08-2002 00:00,22-03-2016 00:00,0
B0_884,22,6,US,OR,13-01-2005 00:00,02-03-2017 00:00,0
B0_905,22,6,US,Texas,18-05-2005 19:41,19-05-2016 10:14,0
B0_916,22,6,CA,ALBERTA,04-01-2001 00:00,03-03-2017 00:00,0
B0_102,23,6,US,FL,28-02-2008 10:58,14-02-2017 20:27,0
B0_1130,23,6,PA,PANAMA,08-12-2006 00:00,14-12-2015 00:00,0
B0_1185,23,6,se,None,16-06-2000 00:00,18-05-2016 00:00,0
B0_1369,23,6,None,None,None,None,0
B0_1412,23,7,None,None,13-10-2000 00:00,27-04-2017 00:00,0
B0_2217,23,6,US,Arizona,31-12-1999 00:00,09-04-2017 00:00,0
B0_2240,23,7,None,None,None,None,0
B0_23,23,6,US,TX,30-07-1996 00:00,04-07-2016 00:00,0
B0_241,23,6,GB,None,09-05-2008 00:00,27-11-2015 00:00,0
B0_285,23,6,US,WI,23-04-1999 00:00,25-07-2016 00:00,0
B0_465,23,6,US,Oregon,04-02-1997 00:00,08-11-2014 00:00,0
B0_599,23,6,IN,Andhra Pradesh,13-02-2003 00:00,14-02-2017 00:00,0
B0_614,23,6,US,CA,17-05-2008 00:00,18-05-2016 00:00,0
B0_622,23,6,CA,AB,30-05-2002 00:00,31-05-2016 00:00,0
B0_790,23,6,None,None,20-10-2005 00:00,30-09-2016 00:00,0
M0_175,24,8,None,None,None,None,1
M0_89,24,9,IN,Tamil Nadu,None,None,1
B0_108,24,6,LU,None,07-01-2006 00:00,14-12-2016 00:00,0
B0_126,24,6,US,VA,05-03-1996 05:00,27-05-2016 14:46,0
B0_171,24,7,US,NY,23-03-1995 00:00,03-03-2017 00:00,0
B0_2301,24,6,None,None,10-01-1998 00:00,11-11-2012 00:00,0
B0_2313,24,6,None,None,27-04-2016 00:00,29-04-2017 00:00,0
